N,Parallel,Sequential,Speed-Up
1,0.005092,0.014536,2.854673998
2,0.029288,0.029888,1.020486206
3,0.028131,0.043821,1.55774768
4,0.031171,0.072915,2.339193481
5,0.035846,0.078906,2.201249791
6,0.049764,0.093383,1.876517161
7,0.050698,0.108593,2.141958263
8,0.048964,0.12498,2.552487542
9,0.064958,0.145717,2.243249484
10,0.071268,0.158111,2.218541281
11,0.064454,0.181713,2.819266454
12,0.080252,0.193379,2.409647112
13,0.087912,0.207849,2.364284739
14,0.0963,0.230006,2.388431983
15,0.098222,0.245186,2.496243204
16,0.117737,0.310394,2.636333523
17,0.165282,0.280346,1.696167762
18,0.113387,0.299863,2.644597705
19,0.132157,0.306185,2.316827712
20,0.112476,0.326376,2.901739038
